CID	Name	Structure Path	Number of Atoms	Total Charge	HOMO-LUMO gap
1101249	3-nitro-N-[(3-phenoxyphenyl)methylideneamino]benzamide	/Users/marcelmueller/source/randommolecules/example/1101249/1101249_opt.xyz	42	0	1.360
1112937	2-(2-imino-3-propylbenzimidazol-1-yl)-1-(4-phenylphenyl)ethanone	/Users/marcelmueller/source/randommolecules/example/1112937/1112937_opt.xyz	51	0	1.521
1114062	5-acetamido-4-(dimethylamino)-N-[[(2S)-1-ethylpyrrolidin-2-yl]methyl]-2-methoxybenzamide	/Users/marcelmueller/source/randommolecules/example/1114062/1114062_opt.xyz	56	0	2.491
1146521	1-[(4-fluorophenyl)methyl]-3-(furan-2-ylmethyl)-1-[(7-oxo-3,6-dihydro-2H-[1,4]dioxino[2,3-g]quinolin-8-yl)methyl]thiourea	/Users/marcelmueller/source/randommolecules/example/1146521/1146521_opt.xyz	56	0	0.978
1156541	2-[[5-[(4,6-dimethylpyrimidin-2-yl)sulfanylmethyl]-4-methyl-1,2,4-triazol-3-yl]sulfanyl]-1-piperidin-1-ylethanone	/Users/marcelmueller/source/randommolecules/example/1156541/1156541_opt.xyz	50	0	2.985
1191021	(2S)-2-(3-bromophenoxy)-N-[(6S)-3-cyano-6-methyl-4,5,6,7-tetrahydro-1-benzothiophen-2-yl]propanamide	/Users/marcelmueller/source/randommolecules/example/1191021/1191021_opt.xyz	44	0	2.822
1191182	2,5-dichloro-N-[4-[(6-methoxypyrimidin-4-yl)sulfamoyl]phenyl]thiophene-3-carboxamide	/Users/marcelmueller/source/randommolecules/example/1191182/1191182_opt.xyz	40	0	2.256
1197430	methyl 2-[[cyclohexyl-[(1S,2S)-2-phenylcyclopropanecarbonyl]amino]methyl]-1,3-oxazole-4-carboxylate	/Users/marcelmueller/source/randommolecules/example/1197430/1197430_opt.xyz	54	0	2.890
1210678	N-(4-bromophenyl)-4-[(2S)-4-oxo-3-(2-phenylethyl)-1,3-thiazolidin-2-yl]benzamide	/Users/marcelmueller/source/randommolecules/example/1210678/1210678_opt.xyz	51	0	2.526
1214149	(5E)-5-[(2,4-diethoxyphenyl)methylidene]-3-(2-oxo-2-piperidin-1-ylethyl)-1,3-thiazolidine-2,4-dione	/Users/marcelmueller/source/randommolecules/example/1214149/1214149_opt.xyz	55	0	1.994
