Name	Structure Path	Number of Atoms	Total Charge
Ac_Ac1Br1C14H10N3O2S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1Br1C14H10N3O2S1/coord.xyz	32	-1.0
Ac_AcH2Li3	/Users/marcelmueller/source/acqm/Ac/Ac_AcH2Li3/coord.xyz	6	0.0
Ac_Ac1C16H26N2O8P2	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C16H26N2O8P2/coord.xyz	55	-1.0
Ac_Ac1C12H16N6O10S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C12H16N6O10S1/coord.xyz	46	-3.0
Ac_Ac1C14H22O5	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C14H22O5/coord.xyz	42	1.0
Ac_Ac1Br1C16H19N2O4	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1Br1C16H19N2O4/coord.xyz	43	1.0
Ac_AcN	/Users/marcelmueller/source/acqm/Ac/Ac_AcN/coord.xyz	2	3.0
Ac_Ac1C9H21N3O2S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C9H21N3O2S1/coord.xyz	37	1.0
Ac_AcO1	/Users/marcelmueller/source/acqm/Ac/Ac_AcO1/coord.xyz	2	0.0
Ac_AcSrClBr	/Users/marcelmueller/source/acqm/Ac/Ac_AcSrClBr/coord.xyz	4	0.0
Ac_Ac1C9H6N2O3	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C9H6N2O3/coord.xyz	21	-1.0
Ac_AcSbO	/Users/marcelmueller/source/acqm/Ac/Ac_AcSbO/coord.xyz	3	3.0
Ac_Ac1C10H11I1N4O5S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C10H11I1N4O5S1/coord.xyz	33	-1.0
Ac_AcHInHN	/Users/marcelmueller/source/acqm/Ac/Ac_AcHInHN/coord.xyz	5	-1.0
Ac_AcI3	/Users/marcelmueller/source/acqm/Ac/Ac_AcI3/coord.xyz	4	0.0
Ac_Ac1C8H21N4O4	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C8H21N4O4/coord.xyz	38	2.0
Ac_Ac1F1H3I1N2O3	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1F1H3I1N2O3/coord.xyz	11	0.0
Ac_AcMgCSnP	/Users/marcelmueller/source/acqm/Ac/Ac_AcMgCSnP/coord.xyz	5	0.0
Ac_Ac1C7F3H5I1N6P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C7F3H5I1N6P1/coord.xyz	24	-1.0
Ac_Ac1C10Cl1H29N4O4P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C10Cl1H29N4O4P1/coord.xyz	50	0.0
Ac_Ac1C7F6H20N1O4P3	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C7F6H20N1O4P3/coord.xyz	42	3.0
Ac_Ac1C12H16I1N2O5	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C12H16I1N2O5/coord.xyz	37	0.0
Ac_AcF1	/Users/marcelmueller/source/acqm/Ac/Ac_AcF1/coord.xyz	2	0.0
Ac_AcFLi	/Users/marcelmueller/source/acqm/Ac/Ac_AcFLi/coord.xyz	3	-1.0
Ac_Ac1C8Cl1F1H11N3O1S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C8Cl1F1H11N3O1S1/coord.xyz	27	-1.0
Ac_Ac1C19Cl1H30O5P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C19Cl1H30O5P1/coord.xyz	57	1.0
Ac_AcInSe	/Users/marcelmueller/source/acqm/Ac/Ac_AcInSe/coord.xyz	3	0.0
Ac_AcSrTeKSe	/Users/marcelmueller/source/acqm/Ac/Ac_AcSrTeKSe/coord.xyz	5	0.0
Ac_Ac1C5H11N12O1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C5H11N12O1/coord.xyz	30	0.0
Ac_AcBr4	/Users/marcelmueller/source/acqm/Ac/Ac_AcBr4/coord.xyz	5	0.0
Ac_AcH4Li1	/Users/marcelmueller/source/acqm/Ac/Ac_AcH4Li1/coord.xyz	6	0.0
Ac_Ac1C18H25N3O4	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C18H25N3O4/coord.xyz	51	3.0
Ac_Ac1C11H15N3O4	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C11H15N3O4/coord.xyz	34	1.0
Ac_AcGaCSiPFO	/Users/marcelmueller/source/acqm/Ac/Ac_AcGaCSiPFO/coord.xyz	7	1.0
Ac_Ac1Br1C12H15N2O5S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1Br1C12H15N2O5S1/coord.xyz	37	-1.0
Ac_AcSiSnSbSr	/Users/marcelmueller/source/acqm/Ac/Ac_AcSiSnSbSr/coord.xyz	5	-2.0
Ac_Ac1C18F1H19N1O8	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C18F1H19N1O8/coord.xyz	48	0.0
Ac_AcGaSi	/Users/marcelmueller/source/acqm/Ac/Ac_AcGaSi/coord.xyz	3	0.0
Ac_Ac1C28H31I1N3O10P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C28H31I1N3O10P1/coord.xyz	75	-1.0
Ac_AcAlPCl	/Users/marcelmueller/source/acqm/Ac/Ac_AcAlPCl/coord.xyz	4	-1.0
Ac_AcBr2	/Users/marcelmueller/source/acqm/Ac/Ac_AcBr2/coord.xyz	3	0.0
Ac_AcBrIS	/Users/marcelmueller/source/acqm/Ac/Ac_AcBrIS/coord.xyz	4	-2.0
