CID,Method,Charge,Atom number,Atom type
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.08538100578033447,6,1
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.059561291611710754,7,5
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,-0.12168391894431063,8,5
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,-0.5877917931252454,9,7
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,-0.27739048377863323,10,8
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,-0.48818458495468686,11,8
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.34904373353974794,12,13
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.6438680498919875,13,13
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.03195704956417278,14,35
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,-0.01397683159695795,15,35
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.8205484781200246,16,44
mlm_H3N2Ca3In1_5edb78,EEQ,-0.023106028350942553,1,1
mlm_H3N2Ca3In1_5edb78,EEQ,0.20991035423554394,2,1
mlm_H3N2Ca3In1_5edb78,EEQ,-0.03517507239679396,3,1
mlm_H3N2Ca3In1_5edb78,EEQ,-0.6752011042184182,4,7
mlm_H3N2Ca3In1_5edb78,EEQ,-0.6937814662543614,5,7
mlm_H3N2Ca3In1_5edb78,EEQ,0.9793192598047671,6,20
mlm_H3N2Ca3In1_5edb78,EEQ,0.8672266715741328,7,20
mlm_H3N2Ca3In1_5edb78,EEQ,0.9565018205637918,8,20
mlm_H3N2Ca3In1_5edb78,EEQ,0.41430556504227956,9,49
mlm_H1N2O1B2Kr1Mo1_0be3be,EEQ,0.048482609500483775,1,1
mlm_H1N2O1B2Kr1Mo1_0be3be,EEQ,-0.014148033695420725,2,5
mlm_H1N2O1B2Kr1Mo1_0be3be,EEQ,0.045644731010393125,3,5
mlm_H1N2O1B2Kr1Mo1_0be3be,EEQ,-0.19047121075299245,4,7
mlm_H1N2O1B2Kr1Mo1_0be3be,EEQ,-0.1328227990329881,5,7
mlm_H1N2O1B2Kr1Mo1_0be3be,EEQ,-0.23688983868546898,6,8
mlm_H1N2O1B2Kr1Mo1_0be3be,EEQ,0.5067757030288105,7,36
mlm_H1N2O1B2Kr1Mo1_0be3be,EEQ,0.9734288386271839,8,42
mlm_H3N1B1Al1Pb1At1_2b39df,EEQ,0.0670992355923743,1,1
mlm_H3N1B1Al1Pb1At1_2b39df,EEQ,0.0687844413760661,2,1
mlm_H3N1B1Al1Pb1At1_2b39df,EEQ,0.08503729590393105,3,1
mlm_H3N1B1Al1Pb1At1_2b39df,EEQ,-0.0004321178513606583,4,5
mlm_H3N1B1Al1Pb1At1_2b39df,EEQ,-0.46291924724919253,5,7
mlm_H3N1B1Al1Pb1At1_2b39df,EEQ,0.22654659099369467,6,13
mlm_H3N1B1Al1Pb1At1_2b39df,EEQ,0.8158308433788382,7,82
mlm_H3N1B1Al1Pb1At1_2b39df,EEQ,0.20005295785564914,8,85
